Root,Algorithm,Step,Adaptive,Tour,Costs,Time
1,kruskal,1.0,false,false,2411.998444809072,2.02537202835083
1,prim,1.0,false,false,2409.5565668769887,3.4724678993225098
1,kruskal,2.0,false,false,2450.443394840829,1.0387909412384033
1,prim,2.0,false,false,2447.344438707832,3.4601070880889893
1,kruskal,1.0,true,false,2429.367311401188,1.024425983428955
1,prim,1.0,true,false,2434.494340421475,3.4036080837249756
1,kruskal,2.0,true,false,2479.39660406688,1.2240750789642334
1,prim,2.0,true,false,2479.628518468485,3.4484190940856934
2,kruskal,1.0,false,false,2604.8149374110935,1.008387804031372
2,prim,1.0,false,false,2449.359910020622,3.4526119232177734
2,kruskal,2.0,false,false,2251.3177127344907,1.103295087814331
2,prim,2.0,false,false,2521.1331529504705,3.4813759326934814
2,kruskal,1.0,true,false,2514.8161040491304,1.2000200748443604
2,prim,1.0,true,false,2367.4056031272794,3.3829569816589355
2,kruskal,2.0,true,false,2297.7207673585644,1.160071849822998
2,prim,2.0,true,false,2500.9080938629586,3.431763172149658
3,kruskal,1.0,false,false,2415.3617712092623,1.1545321941375732
3,prim,1.0,false,false,2407.629888335855,3.491225004196167
3,kruskal,2.0,false,false,2448.0614358129797,1.0441510677337646
3,prim,2.0,false,false,2446.2978242533477,3.4453320503234863
3,kruskal,1.0,true,false,2432.153187536951,1.0832929611206055
3,prim,1.0,true,false,2429.398598860531,3.4434051513671875
3,kruskal,2.0,true,false,2483.3190685990203,1.0437889099121094
3,prim,2.0,true,false,2483.077328912695,3.3991641998291016
