Root,Algorithm,Step,Adaptive,Tour,Costs,Time
1,kruskal,1.0,false,false,1132.548268481974,1.6312370300292969
1,prim,1.0,false,false,1131.4158777139803,2.4716789722442627
1,kruskal,2.0,false,false,1143.0719358008075,0.8131358623504639
1,prim,2.0,false,false,1142.5886667101445,2.4168779850006104
1,kruskal,1.0,true,false,1138.2313798320108,0.7708590030670166
1,prim,1.0,true,false,1139.6105977113016,2.457627058029175
1,kruskal,2.0,true,false,1150.3305406836364,0.7499310970306396
1,prim,2.0,true,false,1150.9161616409076,2.4201221466064453
2,kruskal,1.0,false,false,1134.129009897947,0.892441987991333
2,prim,1.0,false,false,1175.7554675670463,2.4338538646698
2,kruskal,2.0,false,false,1233.30680877803,0.8160090446472168
2,prim,2.0,false,false,1186.6047167480046,2.4168708324432373
2,kruskal,1.0,true,false,1140.4350521754748,0.7692320346832275
2,prim,1.0,true,false,1239.1900147708516,2.4471728801727295
2,kruskal,2.0,true,false,1327.4812597538182,0.8203990459442139
2,prim,2.0,true,false,1201.0666461893538,2.454551935195923
3,kruskal,1.0,false,false,1134.223441980198,0.7535350322723389
3,prim,1.0,false,false,1130.3749792239378,2.4163548946380615
3,kruskal,2.0,false,false,1142.6774308501936,0.7615270614624023
3,prim,2.0,false,false,1142.3945361894503,2.403257131576538
3,kruskal,1.0,true,false,1138.9543051190815,0.7769899368286133
3,prim,1.0,true,false,1138.1644972317795,2.4128968715667725
3,kruskal,2.0,true,false,1151.556012165229,0.7431769371032715
3,prim,2.0,true,false,1151.84167662381,2.4273900985717773
