Root,Algorithm,Costs,Time
1,kruskal,2198.0,0.44870591163635254
1,prim,2198.0,0.004353046417236328
2,kruskal,2050.0,0.0010628700256347656
2,prim,2095.0,0.003304004669189453
3,kruskal,2198.0,0.0010221004486083984
3,prim,2198.0,0.003323078155517578
