Root,Algorithm,Costs,Time
1,kruskal,,0.00011301040649414062
1,prim,,0.0001220703125
2,kruskal,,0.00011301040649414062
2,prim,,0.00011277198791503906
3,kruskal,,0.00010418891906738281
3,prim,,0.00010323524475097656
