Root,Algorithm,Step,Adaptive,Tour,Costs,Time
1,kruskal,1.0,false,false,28956.66840793672,2.652559995651245
1,prim,1.0,false,false,28950.20272334441,48.73227286338806
1,kruskal,2.0,false,false,29081.876688489472,1.727396011352539
1,prim,2.0,false,false,29072.437142731844,46.94389605522156
1,kruskal,1.0,true,false,29011.151378452385,1.6757330894470215
1,prim,1.0,true,false,29029.984450687873,46.722196102142334
1,kruskal,2.0,true,false,29184.33229401242,1.7229859828948975
1,prim,2.0,true,false,29187.588704963033,45.838990926742554
2,kruskal,1.0,false,false,28464.05668350459,2.9069249629974365
2,prim,1.0,false,false,29604.477396268623,48.094648122787476
2,kruskal,2.0,false,false,27242.03236790259,1.9277479648590088
2,prim,2.0,false,false,25034.17471852976,45.60926008224487
2,kruskal,1.0,true,false,26295.15080272951,3.0501530170440674
2,prim,1.0,true,false,28486.30340515924,45.277233839035034
2,kruskal,2.0,true,false,26743.134730742648,2.2187719345092773
2,prim,2.0,true,false,29831.606612122378,49.48098587989807
3,kruskal,1.0,false,false,28965.916773485027,1.7352540493011475
3,prim,1.0,false,false,28944.47944295654,49.34568500518799
3,kruskal,2.0,false,false,29073.819500592566,1.6941430568695068
3,prim,2.0,false,false,29069.122373173042,47.328001976013184
3,kruskal,1.0,true,false,29020.44959693474,1.6696889400482178
3,prim,1.0,true,false,29011.442439162303,47.29725909233093
3,kruskal,2.0,true,false,29197.913981335572,1.705049991607666
3,prim,2.0,true,false,29201.591673658164,47.08947396278381
