Root,Algorithm,Step,Adaptive,Tour,Costs,Time
1,kruskal,1.0,false,false,13816.747775068781,1.8016459941864014
1,prim,1.0,false,false,13823.54462456046,24.300732851028442
1,kruskal,2.0,false,false,13905.212016875517,1.6160318851470947
1,prim,2.0,false,false,13895.406231180435,23.94024896621704
1,kruskal,1.0,true,false,13862.73748905144,1.5710039138793945
1,prim,1.0,true,false,13867.357055714769,23.799957990646362
1,kruskal,2.0,true,false,13969.144166799846,1.5611660480499268
1,prim,2.0,true,false,13976.314648431307,25.415019035339355
2,kruskal,1.0,false,false,12988.594204867191,1.83748197555542
2,prim,1.0,false,false,14806.780594469414,24.03876805305481
2,kruskal,2.0,false,false,14501.322544579849,2.0742220878601074
2,prim,2.0,false,false,14197.270015124504,23.765236139297485
2,kruskal,1.0,true,false,13529.416552586836,1.6594040393829346
2,prim,1.0,true,false,14739.216270269206,23.730758905410767
2,kruskal,2.0,true,false,13143.87101584836,2.3834099769592285
2,prim,2.0,true,false,14227.426466321487,23.316622972488403
3,kruskal,1.0,false,false,13817.746348155186,1.6277110576629639
3,prim,1.0,false,false,13814.924400505017,23.71724510192871
3,kruskal,2.0,false,false,13910.226498846865,1.5315260887145996
3,prim,2.0,false,false,13900.914297856492,23.84917402267456
3,kruskal,1.0,true,false,13870.231969876399,1.6180171966552734
3,prim,1.0,true,false,13855.618665752245,24.619926929473877
3,kruskal,2.0,true,false,13979.429799571513,1.5045020580291748
3,prim,2.0,true,false,13979.637840777865,23.565220832824707
