Root,Algorithm,Costs,Time
1,kruskal,,0.0005290508270263672
1,prim,,0.00014400482177734375
2,kruskal,,0.00011706352233886719
2,prim,,0.0001289844512939453
3,kruskal,,0.00013399124145507812
3,prim,,0.00011301040649414062
