Root,Algorithm,Costs,Time
1,kruskal,,0.00017499923706054688
1,prim,,0.00012302398681640625
2,kruskal,,0.00013899803161621094
2,prim,,0.0001220703125
3,kruskal,,0.00013208389282226562
3,prim,,0.00010204315185546875
