Root,Algorithm,Step,Adaptive,Tour,Costs,Time
1,kruskal,1.0,false,false,5647.075946430265,3.33164119720459
1,prim,1.0,false,false,5653.145456497609,25.234664916992188
1,kruskal,2.0,false,false,5730.089493641293,1.789503812789917
1,prim,2.0,false,false,5720.263146830776,24.127209186553955
1,kruskal,1.0,true,false,5688.785875744242,1.6414799690246582
1,prim,1.0,true,false,5693.035646907804,24.154572010040283
1,kruskal,2.0,true,false,5784.7328565071975,1.563776969909668
1,prim,2.0,true,false,5790.889007593273,23.91636896133423
2,kruskal,1.0,false,false,5626.517816056922,1.8862600326538086
2,prim,1.0,false,false,5418.475996119863,25.04047989845276
2,kruskal,2.0,false,false,5730.114548685991,2.084383010864258
2,prim,2.0,false,false,5849.7416424593575,24.29762101173401
2,kruskal,1.0,true,false,5794.045076532271,1.5970158576965332
2,prim,1.0,true,false,5892.914274024308,26.4353768825531
2,kruskal,2.0,true,false,5811.3520888015155,2.437930107116699
2,prim,2.0,true,false,5640.653707323651,24.515295028686523
3,kruskal,1.0,false,false,5647.968023437962,1.6380219459533691
3,prim,1.0,false,false,5645.447130997838,25.320778131484985
3,kruskal,2.0,false,false,5734.901386724345,1.5215799808502197
3,prim,2.0,false,false,5725.771922740998,24.141249179840088
3,kruskal,1.0,true,false,5695.677693301305,1.6596009731292725
3,prim,1.0,true,false,5682.241810096495,25.18707513809204
3,kruskal,2.0,true,false,5793.569561666285,1.5045580863952637
3,prim,2.0,true,false,5794.128370014025,24.743978023529053
