Root,Algorithm,Step,Adaptive,Tour,Costs,Time
1,kruskal,1.0,false,false,2510.8135478717218,1.5023548603057861
1,prim,1.0,false,false,2510.296256707256,1.0394489765167236
1,kruskal,2.0,false,false,2521.4244014780893,0.8002259731292725
1,prim,2.0,false,false,2520.6035739042563,1.0488622188568115
1,kruskal,1.0,true,false,2515.3460141213773,1.473520040512085
1,prim,1.0,true,false,2516.915433706582,0.9268369674682617
1,kruskal,2.0,true,false,2530.333488028893,0.7274150848388672
1,prim,2.0,true,false,2530.6165855882236,1.4461431503295898
2,kruskal,1.0,false,false,2567.0586472526556,1.1976871490478516
2,prim,1.0,false,false,2567.9165354885668,1.0514411926269531
2,kruskal,2.0,false,false,2686.0756845213537,0.80861496925354
2,prim,2.0,false,false,2482.1293319156816,1.0999109745025635
2,kruskal,1.0,true,false,2512.2398004396955,0.8334159851074219
2,prim,1.0,true,false,2290.6294142543834,1.0962891578674316
2,kruskal,2.0,true,false,2419.168918135475,0.8117561340332031
2,prim,2.0,true,false,2500.923562797183,1.3097970485687256
3,kruskal,1.0,false,false,2511.5763988115314,1.0204989910125732
3,prim,1.0,false,false,2509.838406308422,1.0430970191955566
3,kruskal,2.0,false,false,2520.7236244133705,0.8627099990844727
3,prim,2.0,false,false,2520.3152897702603,1.0816571712493896
3,kruskal,1.0,true,false,2516.1208700862835,0.7820429801940918
3,prim,1.0,true,false,2515.3702368371733,1.017514944076538
3,kruskal,2.0,true,false,2531.514568905373,0.7655119895935059
3,prim,2.0,true,false,2531.834224894322,1.0967950820922852
